loss_train,loss_val,ssim_train,ssim_val,mse_train,mse_val
0.44830823003159,0.19350075473388037,0.3777421712875366,0.5408831834793091,0.4571231007575989,0.1299072802066803
0.08331928008234685,0.056235646880749196,0.6909657120704651,0.7979140877723694,0.014315063133835793,0.008353878743946552
0.07259366685344328,0.05180660800801383,0.7681047916412354,0.8342322707176208,0.010928921401500702,0.0067646680399775505
0.0679212912948486,0.04428032257904609,0.8096487522125244,0.8661754131317139,0.009646061807870865,0.004861610475927591
0.06650256601176623,0.04821260811554061,0.8355124592781067,0.8682557940483093,0.009454729035496712,0.005906166508793831
0.06389297398139016,0.047003955787254706,0.8523937463760376,0.8788203597068787,0.008724357932806015,0.004999216645956039
0.06609191296185886,0.06199271733769112,0.85972660779953,0.851887583732605,0.009356187656521797,0.010986397042870522
0.06648384151669405,0.04320898176067405,0.8637703657150269,0.8937667608261108,0.009433453902602196,0.004655028227716684
0.062205541089992204,0.044265137157506414,0.8760151863098145,0.8918750882148743,0.008427845314145088,0.004448877647519112
0.06352733537492043,0.045088155350337424,0.8732795119285583,0.8924518823623657,0.008761202916502953,0.004582096356898546
0.05965348260495472,0.04484876824749841,0.8805882930755615,0.8962642550468445,0.007753603160381317,0.005305774509906769
0.058565248775741326,0.04054568995100757,0.8889716863632202,0.9040381908416748,0.007579999044537544,0.004050044808536768
0.05633367014967877,0.04157115896749827,0.894398033618927,0.9045841693878174,0.007054888177663088,0.004457514267414808
0.054315383693655274,0.04066785202465124,0.8974252343177795,0.9053868651390076,0.006561080925166607,0.004384525120258331
0.05359929609327965,0.0388829301421841,0.9002130031585693,0.90614914894104,0.006428667344152927,0.0037569801788777113
0.051176014373295775,0.040598007229467235,0.9053390026092529,0.9082434773445129,0.005898409057408571,0.00392279913648963
0.05080916252912011,0.03673266117564506,0.9049716591835022,0.9099072813987732,0.005851415917277336,0.003330570412799716
0.0500550083607059,0.03818955347459349,0.9059979915618896,0.908359169960022,0.005730060860514641,0.0038912887685000896
0.05002397385022249,0.03646642445690102,0.9051946997642517,0.9113718271255493,0.005769764073193073,0.0036419180687516928
0.04687610400780555,0.03695786928033663,0.9106999635696411,0.9135414958000183,0.0051193092949688435,0.003416147781535983
0.045453769310284796,0.037013386376202106,0.912774384021759,0.9100432395935059,0.0048353723250329494,0.00408957339823246
0.04494561036058596,0.03213864647679859,0.9138261675834656,0.9162182211875916,0.004754787776619196,0.0026968352030962706
0.04452802987996526,0.03337058758673569,0.9139471650123596,0.91425621509552,0.004681781399995089,0.0027655574958771467
0.04250054340940204,0.030490343924611807,0.9169979095458984,0.9193286895751953,0.004308277741074562,0.002470907522365451
0.04110696103011074,0.03393309384894868,0.9188609719276428,0.915635347366333,0.0040782964788377285,0.0029134368523955345
0.04017114471827032,0.03239688634251555,0.9201392531394958,0.918134331703186,0.003933614119887352,0.002675628289580345
0.038733843034773355,0.03075472402593328,0.9223453402519226,0.9193331003189087,0.0036787656135857105,0.002472342224791646
0.03815508799478516,0.029142125095758174,0.9221081733703613,0.921551525592804,0.003603618824854493,0.0022564774844795465
0.03706439393004311,0.028914313452939194,0.924538254737854,0.9219201803207397,0.0034347614273428917,0.0022125293035060167
0.03607628152537229,0.028243245867391426,0.9254937767982483,0.9225385785102844,0.003278227522969246,0.0021709108259528875
0.03554064996258407,0.027849855315354135,0.9263311624526978,0.9233642220497131,0.003190973773598671,0.0021037477999925613
0.034736882333564055,0.02823093005766471,0.9276189804077148,0.9237869381904602,0.003071592655032873,0.0021831528283655643
0.03390026881998251,0.026289416968615517,0.9282586574554443,0.9247100949287415,0.0029664409812539816,0.0019400438759475946
0.033370679610135845,0.02570346005571385,0.9290673732757568,0.9249923229217529,0.0028689110185950994,0.00188448594417423
0.03277648175801418,0.02573394040680594,0.9297746419906616,0.9255539178848267,0.00279991771094501,0.0018824031576514244
0.03222382714159442,0.025913388313104708,0.9305031895637512,0.9255521893501282,0.002714116359129548,0.0019036070443689823
0.032007937012619087,0.02549053444009688,0.9307752251625061,0.925575315952301,0.0026814471930265427,0.0018578993622213602
0.031865682711545246,0.025453031270040408,0.930889368057251,0.9255766272544861,0.0026912104804068804,0.0018521386664360762
0.031726302620843784,0.025375360829962626,0.9312726259231567,0.9257572889328003,0.0026531447656452656,0.001838760101236403
0.031778527204297365,0.025758577743545175,0.9312502145767212,0.9256277680397034,0.0026640023570507765,0.001870737411081791
